Company,Current_Price_INR,PE_Ratio,Market_Cap_Crore,Quarterly_Profit_Growth_Percent,Quarterly_Sales_Growth_Percent,ROCE_Percent,Expected_PE_Ratio,Cap_Category,Is_profitable
Clean Max Enviro,1352.1,168.31,15843.37,151.79,25.13,6.24,536.9951149767663,Mid Cap,True
Clean Science,779.05,36.05,8279.94,-21.35,-5.47,20.64,990.5276541640178,Mid Cap,True
Clear Secured,97.0,7.72,233.26,0.0,0.0,19.86,97.0,Micro Cap,True
Clenon Enterpri,43.86,0.0,47.98,31.03,0.0,-16.35,33.4732504006716,Micro Cap,False
Clinitech Lab,42.78,23.24,9.76,-29.41,5.53,7.27,60.603484912877185,Micro Cap,True
CLIO Infotech,7.92,13.21,8.72,3900.0,700.0,2.87,0.198,Micro Cap,True
CLN Energy,447.6,22.99,472.36,44.63,34.37,22.38,309.47936112839665,Micro Cap,True
CMR Green Tech.,246.7,37.61,5404.1,0.0,0.0,12.41,246.7,Mid Cap,True
CMS Info Systems,291.1,15.46,4792.6,-20.37,2.24,17.65,365.5657415546905,Small Cap,True
CMX Holdings,24.57,0.0,27.87,-83.33,0.0,-50.75,147.39052189562082,Micro Cap,False
Coal India,435.4,8.63,268325.19,12.86,22.91,35.34,385.7877015771752,Large Cap,True
Coastal Corporat,50.11,12.59,335.62,1061.17,106.69,9.63,4.3154749089280635,Micro Cap,True
Coastal Roadways,24.57,6.54,10.2,-20.0,-1.78,8.49,30.7125,Micro Cap,True
Cochin Malabar,139.95,0.0,24.77,-108.67,0.0,-11.64,-1614.1868512110725,Micro Cap,False
Cochin Minerals,248.6,12.32,194.65,12.86,13.43,13.63,220.27290448343078,Micro Cap,True
Cochin Shipyard,1458.4,53.53,38367.7,-3.73,-15.55,15.95,1514.90599355978,Large Cap,True
Coffee Day Enter,33.29,0.0,703.26,92.03,4.66,1.27,17.335832942769358,Small Cap,False
Coforge,1492.9,39.09,64194.69,151.04,30.05,23.5,594.6861057998726,Large Cap,True
Cohance Life,458.05,88.8,17523.49,-86.64,-26.33,8.35,3428.517964071858,Mid Cap,True
Colab Platforms,147.6,637.93,3011.04,-12.63,148.9,24.27,168.93670596314524,Small Cap,True
Colgate-Palmoliv,1993.0,40.34,54206.74,3.01,9.08,108.0,1934.763615182992,Large Cap,True
Colinz Labs,75.55,18.67,9.52,13.33,20.69,7.2,66.66372540368835,Micro Cap,True
Colorchips New,12.29,0.0,20.91,17.5,50.0,-8.7,10.459574468085105,Micro Cap,False
Comfort Comtrade,14.52,0.0,14.55,-19.96,-28.0,-27.07,18.140929535232384,Micro Cap,False
Comfort Fincap,7.0,9.16,68.64,38.96,3.36,10.19,5.0374208405296494,Micro Cap,True
Comfort Intech,5.94,0.0,190.04,2.04,2.15,2.68,5.82124656997256,Micro Cap,False
Commerl. Synbags,162.13,24.26,654.02,-1.66,3.26,15.01,164.86678869229203,Small Cap,True
Committed Cargo,325.0,32.15,376.17,34.11,20.27,16.48,242.338378942659,Micro Cap,True
Competent Auto,372.25,9.18,228.93,24.47,9.49,8.58,299.0680485257492,Micro Cap,True
Compuage Info.,1.26,0.0,10.81,-1417.55,-69.83,-11.29,-0.09563204432469356,Micro Cap,False
Compucom Soft.,13.31,148.34,105.32,-434.12,-17.48,1.85,-3.9835987070513594,Micro Cap,True
Computer Point,3.76,1128.0,11.28,550.0,0.0,0.03,0.5784615384615385,Micro Cap,True
Comrade Applian.,22.75,0.0,17.7,-206.41,-62.32,-23.19,-21.379569589324316,Micro Cap,False
Conart Engineers,94.3,15.88,59.22,-11.2,-28.66,14.98,106.19369369369369,Micro Cap,True
Concord Biotech,1286.1,50.63,13454.69,-36.58,-24.19,18.51,2027.909176915799,Mid Cap,True
Concord Control,2802.45,68.63,2909.9,73.02,72.57,30.64,1619.7260432319963,Small Cap,True
Concord Drugs,76.33,96.69,100.56,5100.0,346.61,5.24,1.4678846153846155,Micro Cap,True
Concord Enviro,355.35,32.26,735.44,-78.51,-0.46,6.63,1653.5597952536066,Small Cap,True
Confidence Fut.,35.5,14.08,88.82,-2.36,-17.89,3.28,36.358049979516586,Micro Cap,True
Confidence Petro,71.87,25.71,2387.82,37.5,31.45,9.23,52.26909090909091,Small Cap,True
Connplex Cinemas,204.75,15.0,391.07,38.91,51.97,43.57,147.39759556547403,Micro Cap,True
Cons. Finvest,225.11,13.47,728.55,-39.95,-29.3,5.65,374.87094088259784,Small Cap,True
Consecutive Commodities,0.97,23.01,62.14,60.0,7.82,17.44,0.60625,Micro Cap,True
Constronics,43.36,19.27,54.33,-83.33,-61.2,7.9,260.107978404319,Micro Cap,True
Cont. Chemicals,63.5,28.0,14.28,-40.0,16.67,11.84,105.83333333333334,Micro Cap,True
Cont. Petroleums,86.13,24.06,81.57,85.29,-22.56,9.51,46.4838901181931,Micro Cap,True
Cont. Securities,13.2,18.36,40.2,78.12,46.58,13.6,7.410734336402425,Micro Cap,True
Containe Tech.,22.06,15.13,15.43,78.05,35.8,8.23,12.389778152204437,Micro Cap,True
Container Corpn.,469.8,28.81,35780.81,-12.39,-1.07,12.41,536.2401552334209,Large Cap,True
Containerway Int,18.86,0.0,21.83,33.33,-71.96,-19.91,14.145353633840847,Micro Cap,False
Contil India,22.33,15.09,34.55,2.27,0.7,23.97,21.83436002737851,Micro Cap,True
Continental Seed,11.75,16.06,16.38,41.38,-13.28,5.05,8.310935068609421,Micro Cap,True
Control Print,640.05,24.87,1023.71,-83.21,14.58,16.45,3812.0905300774257,Small Cap,True
Cool Caps,25.4,35.7,298.77,-53.49,85.27,11.26,54.611911416899595,Micro Cap,True
Coral India Fin.,31.65,8.62,127.56,14.47,0.0,8.06,27.649165720276052,Micro Cap,True
Coral Labs.,626.05,13.83,223.5,54.73,-5.87,10.99,404.60802688554253,Micro Cap,True
Coral Newsprints,10.2,0.0,5.15,168.0,0.0,0.0,3.8059701492537314,Micro Cap,False
Cords Cable,208.39,13.05,269.4,84.41,14.43,17.73,113.00363320861123,Micro Cap,True
Coromandel Engg.,57.83,1186.65,201.73,-70.61,110.91,10.4,196.76760802994212,Micro Cap,True
Coromandel Inter,2000.4,29.41,59015.09,-42.51,20.35,22.75,3479.5616628978955,Large Cap,True
Corona Remedies,1893.3,58.02,11579.44,43.75,20.23,33.29,1317.0782608695652,Mid Cap,True
Corporate Merch,57.36,149.05,363.69,-84.36,0.0,2.68,366.75191815856783,Micro Cap,True
COSCO (India),204.35,85.03,85.03,174.81,14.55,4.89,74.36046723190567,Micro Cap,True
Cosmic CRF,1087.35,19.8,1001.04,127.6,77.46,13.6,477.74604569420035,Small Cap,True
Cosmo Ferrites,189.5,0.0,227.97,116.77,39.58,4.55,87.41984591963833,Micro Cap,False
Cosmo First,803.55,13.05,2109.3,53.17,36.85,11.25,524.6131749037017,Small Cap,True
Cospower Engine.,1770.0,24.97,325.06,568.32,261.36,38.25,264.84318889154895,Micro Cap,True
COSYN,20.93,142.73,15.7,-57.14,-64.64,2.27,48.833411105926274,Micro Cap,True
Country Club Hos,12.68,26.17,207.27,-4.19,42.87,2.51,13.23452666736249,Micro Cap,True
Country Condo,4.79,63.0,37.17,100.0,40.46,3.42,2.395,Micro Cap,True
Covance Softsol,166.85,10.75,369.5,428.12,76.48,31.41,31.5931985154889,Micro Cap,True
CP Capital,106.37,4.54,193.52,6.28,15.37,9.83,100.08468197214904,Micro Cap,True
Craftsman Auto,9252.0,63.3,24198.08,56.46,27.28,13.91,5913.33248114534,Large Cap,True
Crane Infra,12.45,19.61,9.02,-47.83,0.0,2.08,23.864289821736627,Micro Cap,True
Cranes Software,3.69,0.0,70.83,0.0,-17.1,0.0,3.69,Micro Cap,False
Cranex,94.07,25.64,61.8,22.92,18.69,10.36,76.52945004881222,Micro Cap,True
Cravatex,386.7,14.67,99.77,11.11,-34.72,7.91,348.03348033480336,Micro Cap,True
Crayons Advertis,27.5,17.87,67.18,-94.03,26.88,5.55,460.636515912898,Micro Cap,True
Crazy Snacks,0.0,15.88,100.54,0.0,0.0,16.2,0.0,Micro Cap,True
Creative Casting,543.95,16.18,70.71,-2.86,7.53,14.33,559.964998970558,Micro Cap,True
Creative Eye,6.31,0.0,12.66,-147.83,-65.0,-4.54,-13.192556972611326,Micro Cap,False
Creative Graphic,144.95,18.76,352.03,-43.46,23.23,17.98,256.3671736823488,Micro Cap,True
Creative Newtech,731.6,15.63,1098.62,29.57,83.17,18.75,564.63687582002,Small Cap,True
Credent Global,29.8,7.32,183.15,-99.7,0.99,21.64,9933.333333333325,Micro Cap,True
CreditAcc. Gram.,1462.3,30.14,23434.75,619.23,13.55,9.98,203.31465595150368,Large Cap,True
Credo Brands,87.46,11.83,571.94,10.12,5.93,13.8,79.4224482382855,Small Cap,True
Crescentis Capital,119.75,0.0,203.74,-94.44,-99.46,-4.87,2153.776978417267,Micro Cap,False
Cressanda Railwa,2.45,0.0,101.65,-387.91,-94.18,0.29,-0.8509603695599319,Micro Cap,False
Crest Ventures,392.75,23.86,1117.36,8.02,-32.76,5.67,363.59007591186815,Small Cap,True
Crestchem,130.7,14.47,39.21,80.33,41.49,43.41,72.47823434813951,Micro Cap,True
Crimson Metal,48.28,152.71,21.38,0.0,-34.49,7.92,48.28,Micro Cap,True
CRISIL,4089.9,35.63,29909.45,45.93,30.06,32.55,2802.6451038168984,Large Cap,True
Crizac,201.39,16.08,3523.97,50.26,15.02,52.34,134.0276853454013,Small Cap,True
Croissance Ltd,1.39,190.6,9.53,-100.0,0.0,0.84,inf,Micro Cap,True
Crompton Gr. Con,275.3,50.61,17726.98,-31.74,10.9,18.98,403.31087020216813,Mid Cap,True
Crop Life Scienc,43.0,10.6,73.7,22.96,-7.81,11.56,34.97072218607677,Micro Cap,True
Cropster Agro,5.4,32.92,453.6,-54.49,-68.25,12.45,11.865524060646013,Micro Cap,True
Crown Lifters,110.68,14.46,128.28,-30.41,4.31,13.41,159.04583991952867,Micro Cap,True
Cryogenic OGS,279.35,43.08,398.91,35.05,1.39,26.9,206.84931506849315,Micro Cap,True
Crystal Business,2.08,173.83,20.86,351.18,-28.79,2.59,0.4610133427900173,Micro Cap,True
CSB Bank,324.6,8.89,5631.35,5.85,22.43,7.05,306.66036844591406,Mid Cap,True
CSL Finance,225.97,5.97,514.82,2.9,21.71,14.42,219.60155490767738,Small Cap,True
CSM Technologies,0.0,36.08,583.12,0.0,0.0,23.84,0.0,Small Cap,True
Cube Highways,152.0,139.03,20429.86,318.54,37.37,6.44,36.31672002675969,Large Cap,True
Cubex Tubings,84.34,16.21,120.77,-40.43,6.14,11.45,141.58133288568072,Micro Cap,True
Cubical Finan,3.72,142.59,24.24,216.67,-20.59,2.11,1.1747244765844571,Micro Cap,True
Cummins India,5642.0,64.51,156396.24,18.0,21.89,39.5,4781.35593220339,Large Cap,True
Cupid,182.61,226.81,24554.85,213.94,116.07,33.46,58.167165700452315,Large Cap,True
Cupid Breweries,32.24,0.0,294.49,0.0,0.0,0.0,32.24,Micro Cap,False
Cura Tech.,80.76,0.0,79.95,-492.0,0.0,-7.74,-20.602040816326532,Micro Cap,False
Curis Lifescien.,102.0,11.9,82.46,-31.66,-4.77,21.25,149.2537313432836,Micro Cap,True
Current Infra.,114.1,15.55,218.48,84.73,153.61,26.98,61.765820386510036,Micro Cap,True
CWD,316.3,63.72,708.57,56.12,293.56,17.98,202.6005636689726,Small Cap,True
Cybele Industrie,48.62,1.48,52.0,4504.76,-11.34,45.26,1.055863932105039,Micro Cap,True
Cyber Media Ind,16.74,7.89,34.58,369.39,30.37,62.36,3.566330769722406,Micro Cap,True
Cyber Media Res.,68.25,5.4,19.98,109.52,38.37,21.77,32.57445589919816,Micro Cap,True
Cybertech Sys.,151.12,15.46,470.45,-26.35,1.37,17.29,205.18669382213173,Micro Cap,True
Cyient,886.25,20.81,9849.94,-59.6,0.93,12.28,2193.688118811881,Mid Cap,True
Cyient DLM,465.0,50.26,3691.33,-27.71,-13.78,9.9,643.2424955042192,Small Cap,True
D & H India,260.0,31.76,266.11,14.85,22.13,14.39,226.38223770134957,Micro Cap,True
D B Corp,199.55,10.71,3557.07,18.84,5.25,18.23,167.9148434870414,Small Cap,True
D P Wires,213.03,18.78,330.21,132.43,-6.21,9.15,91.65340102396421,Micro Cap,True
D-Link India,516.05,17.61,1832.23,0.66,20.0,28.27,512.6664017484602,Small Cap,True
D.K. Enterprises,70.85,9.33,53.19,-7.92,13.55,19.21,76.94396177237184,Micro Cap,True
D.P. Abhushan,953.25,10.27,2176.07,101.19,86.09,39.57,473.8058551617874,Small Cap,True
Dabur India,423.9,39.44,75197.84,15.14,7.35,20.44,368.16050026055234,Large Cap,True
Dachepalli Pub.,86.39,8.51,129.38,122.41,94.04,23.84,38.842677937143115,Micro Cap,True
Dai-ichi Karkari,314.62,0.0,234.39,-98.55,-41.12,-1.01,21697.931034482655,Micro Cap,False
Daikaffil Chem,56.64,0.0,33.98,-154.29,-50.75,-27.84,-104.32860563639714,Micro Cap,False
Dalal Street Inv,394.0,0.0,12.61,131.71,0.0,0.48,170.04013637736827,Micro Cap,False
Dalmia Bharat,324.95,11.38,2630.12,-46.94,-2.44,8.25,612.4199019977384,Small Cap,True
Dalmia BharatLtd,1720.4,29.85,32268.85,-9.13,3.76,7.59,1893.2540992626832,Large Cap,True
Dalmia Industria,10.5,354.33,21.26,-100.0,-44.51,3.08,inf,Micro Cap,True
Dam Capital Advi,150.0,14.62,1060.29,-96.93,-20.05,35.64,4885.993485342027,Small Cap,True
Damodar Indust.,31.36,13.61,73.07,-71.34,30.95,7.49,109.4207955338451,Micro Cap,True
Dangee Dums,3.25,0.0,50.04,-523.53,8.29,2.05,-0.7673600453332704,Micro Cap,False
Danish Power,1030.45,28.98,2029.12,9.23,18.61,23.75,943.3763618053648,Small Cap,True
Danlaw Tech.,1008.7,21.37,491.3,46.32,28.44,27.22,689.3794423182067,Micro Cap,True
Danube Industrie,8.38,56.07,76.25,-56.67,-10.02,7.44,19.339949226863606,Micro Cap,True
Dar Credit & Cap,36.0,5.07,51.39,60.73,41.78,13.39,22.397809991911902,Micro Cap,True
Darjeeling Industriies,37.5,17.34,29.48,116.67,0.0,22.21,17.30742603959939,Micro Cap,True
Darshan Orna,2.31,39.84,23.11,-18.18,944.58,3.58,2.8232705939868,Micro Cap,True
Data Pattern,4506.6,92.21,25229.74,21.3,-12.96,23.28,3715.2514427040396,Large Cap,True
Datamatics Glob.,799.8,19.76,4727.33,31.1,4.45,20.81,610.0686498855836,Small Cap,True
Datiware Mari.,28.63,0.0,14.32,-30.0,0.0,0.96,40.9,Micro Cap,False
Daulat Securitie,30.98,0.0,15.49,-52.06,-65.12,-9.59,64.6224447225699,Micro Cap,False
Davangere Sugar,3.59,60.33,513.37,0.52,47.29,5.56,3.571428571428571,Small Cap,True
Davin Sons Reta,28.0,24.05,18.52,-78.49,-43.09,6.14,130.17201301720127,Micro Cap,True
DB Intl.Stock,31.0,34.89,108.5,-82.84,-21.85,7.28,180.6526806526807,Micro Cap,True
DC Infotech,269.05,20.7,441.24,55.65,38.62,22.98,172.85576614198524,Micro Cap,True
DCB Bank,186.15,8.2,5995.47,16.14,9.49,7.4,160.28069571207163,Mid Cap,True
DCG Cables,56.5,11.84,102.55,-15.41,33.36,13.45,66.79276510225795,Micro Cap,True
DCM,98.34,63.56,183.68,-260.64,13.47,14.59,-61.21762948207172,Micro Cap,True
DCM Financial,5.5,0.0,12.17,83.95,0.0,-4.92,2.9899429192715408,Micro Cap,False
DCM Nouvelle,150.3,74.66,280.73,-19.2,-6.5,4.27,186.0148514851485,Micro Cap,True
DCM Shriram,1045.6,18.69,16305.33,92.98,11.0,11.8,541.8178049538811,Mid Cap,True
DCM Shriram Fine Chemicals,23.91,0.0,208.0,-186.65,-17.69,0.74,-27.593768032313903,Micro Cap,False
DCM Shriram Inds,37.93,11.93,495.29,-19.32,11.29,11.03,47.012890431333666,Micro Cap,True
DCM Shriram Intl,71.6,59.49,622.86,-87.99,-3.22,3.57,596.1698584512901,Small Cap,True
DCW,48.19,29.53,1422.35,60.57,13.23,9.69,30.011832845487945,Small Cap,True
DCX Systems,191.3,0.0,2130.82,-101.45,-62.31,0.87,-13193.103448275902,Small Cap,False
DDev Plastiks,272.43,13.97,2819.01,5.39,3.92,31.0,258.49701110162255,Small Cap,True
De Neers Tools,194.95,6.83,172.46,135.87,40.46,25.76,82.65146055030314,Micro Cap,True
DE Nora India,929.4,54.47,493.51,-119.16,9.14,9.62,-4850.730688935282,Micro Cap,True
Debock Industrie,0.93,0.0,15.13,5.0,-100.0,-0.77,0.8857142857142857,Micro Cap,False
Dec.Gold Mines,194.38,0.0,3862.36,-47.27,1885.11,-13.09,368.632656931538,Small Cap,False
Deccan Cements,590.75,46.31,827.49,-202.01,79.86,3.31,-579.1098911871386,Small Cap,True
Deccan Healthcar,13.38,13.3,33.11,175.0,1.11,3.28,4.865454545454546,Micro Cap,True
Deccan Polypacks,34.0,0.0,7.19,-100.0,0.0,-400.0,inf,Micro Cap,False
Deccan Transcon,21.35,5.95,48.51,194.62,-3.25,8.31,7.246622768311724,Micro Cap,True
Decillion Financ,35.55,0.0,12.44,-155.0,-3.85,0.08,-64.63636363636363,Micro Cap,False
Decipher Labs,7.3,0.0,7.37,91.24,2.86,-16.67,3.8171930558460576,Micro Cap,False
Deco-Mica,53.51,32.57,22.47,-95.4,-8.96,6.99,1163.260869565219,Micro Cap,True
DEE Development,667.3,58.56,4621.94,-16.38,26.26,10.92,798.0148289882802,Small Cap,True
Deem Roll-Tech,54.0,20.75,45.02,158.82,-2.09,5.47,20.863920871648254,Micro Cap,True
Deep Health AI,2.15,4.68,30.99,207.32,-44.44,20.22,0.6995965117792529,Micro Cap,True
Deep Industries,474.8,8.21,3038.72,417.4,48.72,16.48,91.76652493235409,Small Cap,True
Deep Polymers,38.57,14.0,93.26,576.92,15.43,8.75,5.697866808485493,Micro Cap,True
Deepak Builders,8.35,9.81,388.95,29.55,5.32,13.55,6.445387881126977,Micro Cap,True
Deepak Chemtex,77.01,10.14,83.66,-41.35,-9.56,19.45,131.30434782608697,Micro Cap,True
Deepak Fertilis.,1566.4,26.82,19773.89,-49.72,12.9,11.58,3115.354017501989,Mid Cap,True
Deepak Nitrite,1622.4,39.52,22128.41,8.56,-2.72,11.49,1494.473102431835,Large Cap,True
Deepak Spinners,127.9,25.26,91.95,480.0,-0.61,2.9,22.051724137931036,Micro Cap,True
Defrail Technologies,69.1,12.1,48.54,37.02,25.28,27.58,50.430594073857826,Micro Cap,True
Delaplex,100.2,7.11,91.28,-3.1,0.38,20.14,103.40557275541796,Micro Cap,True
Delhivery,464.8,194.99,34806.46,-2.29,30.04,2.82,475.69337836454815,Large Cap,True
Delphi World,8.27,65.43,202.84,-172.47,445.11,8.95,-11.411618600800333,Micro Cap,True
Delta Auto.,34.5,8.04,52.75,-47.28,-28.28,11.81,65.44006069802731,Micro Cap,True
Delta Corp,64.45,19.3,1725.78,-28.81,-11.72,5.02,90.53237814299762,Small Cap,True
Delta Industrial,11.54,0.0,6.22,-16.67,0.0,-0.42,13.848553942157686,Micro Cap,False
Delta Manufact.,60.82,0.0,66.0,17.54,18.6,-0.45,51.74408711927855,Micro Cap,False
Delton Cables,416.8,24.75,360.12,-73.14,58.39,14.81,1551.7498138495907,Micro Cap,True
Den Networks,31.24,8.99,1490.85,-38.24,-3.04,5.58,50.582901554404145,Small Cap,True
Denis Chem Lab,72.29,11.93,100.31,-43.66,12.98,14.01,128.31025914093007,Micro Cap,True
Denta Water,324.75,14.24,867.08,-33.6,2.14,18.84,489.08132530120486,Small Cap,True
Desco Infra.,215.55,10.1,165.46,75.73,108.01,30.15,122.65976213509362,Micro Cap,True
Desh Rakshak,34.3,34.91,19.55,-16.67,-21.41,6.53,41.16164646585863,Micro Cap,True
Desi Farms India,640.95,302.14,63.45,100.0,-33.33,-157.45,320.475,Micro Cap,True
Dev Accele.,35.72,38.85,338.03,317.31,-9.39,12.04,8.559584002300449,Micro Cap,True
Dev Information,26.27,129.89,148.07,645.08,4.5,3.46,3.5257958876899123,Micro Cap,True
Dev Labtech,21.5,10.66,102.02,1039.51,258.48,20.95,1.8867758949021949,Micro Cap,True
Devine Impex,8.0,254.33,7.63,0.0,-19.35,0.29,8.0,Micro Cap,True
Devyani Intl.,112.84,0.0,13912.49,7.8,18.5,4.66,104.67532467532467,Mid Cap,False
Dhabriya Poly.,385.3,13.84,417.06,54.93,9.88,25.64,248.69295811011423,Micro Cap,True
Dhampur Bio,112.05,29.54,743.87,3.28,16.25,4.88,108.49147947327653,Small Cap,True
Dhampur Sugar,136.75,13.51,879.39,-6.88,-20.75,6.43,146.85352233676974,Small Cap,True
Dhampur.Spl.Sug.,119.85,18.49,104.64,148.28,33.77,19.67,48.27211213146447,Micro Cap,True
Dhanalaxmi Roto,78.3,8.89,61.08,-83.74,76.94,15.64,481.5498154981547,Micro Cap,True
Dhanashree Elect,161.95,62.28,229.81,-19.05,15.86,10.0,200.06176652254476,Micro Cap,True
Dhanlaxmi Bank,32.0,12.29,1263.04,50.07,26.36,5.81,21.323382421536614,Small Cap,True
Dhanlaxmi Cotex,114.2,695.38,55.63,89.47,189.66,0.11,60.273394204887325,Micro Cap,True
Dhanlaxmi Crop,29.7,0.0,48.49,-1215.22,-0.11,0.93,-2.6631516651423035,Micro Cap,False
Dhanlaxmi Fabric,50.38,0.0,43.23,-26.92,66.0,-5.65,68.93814997263273,Micro Cap,False
Dhansa Labs,21.0,9.14,52.39,78.63,32.7,7.99,11.756143984772994,Micro Cap,True
Dhansafal Fin,2.41,74.99,54.74,163.16,97.83,4.03,0.9157926736586108,Micro Cap,True
Dhanuka Agritech,1062.6,16.49,4736.89,29.5,9.35,23.97,820.5405405405405,Small Cap,True
Dhanuka Infra Realty,11.75,10.48,11.21,-66.79,-35.99,8.86,35.380909364649206,Micro Cap,True
Dhanvantri Jeev.,25.35,25.98,10.39,900.0,24.19,3.88,2.535,Micro Cap,True
Dhanwel Hybrid,0.0,14.73,90.12,0.0,0.0,38.22,0.0,Micro Cap,True
Dhara Rail Pro.,159.8,15.61,241.04,180.27,5.27,35.5,57.01644842473329,Micro Cap,True
Dharan Infra-EPC,0.16,0.0,83.66,-874.42,-43.55,-3.61,-0.020660623434312134,Micro Cap,False
Dharani Finance,14.73,13.38,7.36,-31.58,-13.16,8.21,21.5287927506577,Micro Cap,True
Dhariwalcorp,36.8,40.28,345.97,0.0,0.0,0.0,36.8,Micro Cap,True
Dharmaj Crop,265.05,16.38,895.8,263.52,11.36,16.45,72.91208186619718,Small Cap,True
Dharni Capital,65.1,28.4,132.61,17.5,41.67,22.39,55.40425531914893,Micro Cap,True
Dhatre Udyog,4.59,0.0,50.01,-76.47,-100.0,-3.87,19.50701232469188,Micro Cap,False
Dhenu Buildcon,11.02,0.0,6539.04,-6733.33,-9500.0,0.04,-0.16613073674911394,Mid Cap,False
Dhillon Freight,32.7,9.5,12.82,-47.06,4.34,16.42,61.768039289762,Micro Cap,True
Dhoot Indl.Fin,230.8,8.11,145.82,126.82,19.83,5.0,101.75469535314346,Micro Cap,True
DHP India,523.35,14.2,157.01,-93.67,27.91,6.49,8267.77251184834,Micro Cap,True
Dhruv Consultanc,28.18,0.0,53.45,-103.02,-69.86,-32.69,-933.1125827814568,Micro Cap,False
Dhruva Cap.Serv.,425.0,118.91,305.59,-54.55,75.51,12.97,935.093509350935,Micro Cap,True
Dhunseri Invest.,850.1,28.82,518.32,91.46,28.96,3.24,444.00919252063096,Small Cap,True
Dhunseri Tea,139.01,0.0,146.06,34.92,-35.75,1.8,103.03142603024014,Micro Cap,False
Dhunseri Vent.,235.72,9.06,825.49,128.82,-47.1,4.57,103.01547067564024,Small Cap,True
Dhyaani Trade,5.1,124.0,8.68,7.14,226.53,0.45,4.760126936718312,Micro Cap,True
Diamines & Chem.,240.96,0.0,242.25,-292.06,-48.19,-8.35,-125.46079350203063,Micro Cap,False
Diamond Power,206.28,73.66,10870.36,638.19,114.08,24.2,27.94402525095165,Mid Cap,True
Diana Tea Co,26.65,22.83,39.95,-8.66,-20.29,4.16,29.176702430479526,Micro Cap,True
DIC India,509.65,22.52,467.81,63.71,14.42,6.42,311.3126870685969,Micro Cap,True
Diensten Tech,120.2,0.0,99.29,0.0,0.0,0.0,120.2,Micro Cap,False
Diffusion Eng,388.3,28.57,1453.26,22.81,38.08,16.42,316.179464213012,Small Cap,True
Diggi Multitrade,13.99,0.0,13.54,100.0,-100.0,-1.19,6.995,Micro Cap,False
Digicontent,27.73,43.14,161.35,-85.53,3.34,23.95,191.63787145818944,Micro Cap,True
Digidrive Dist.,18.54,12.16,71.49,-131.69,-7.28,3.06,-58.50426001893342,Micro Cap,True
Digikore Studios,48.85,4.89,61.87,165.1,134.05,24.67,18.427008675971333,Micro Cap,True
Digilogic Systems,125.3,35.56,362.76,0.0,0.0,18.72,125.3,Micro Cap,True
DigiSpice Tech.,19.68,18.96,461.83,569.73,-8.25,12.08,2.9384976035118626,Micro Cap,True
Digitide Solutio,86.36,125.88,1287.72,-118.68,9.21,10.86,-462.31263383297625,Small Cap,True
Digjam,47.0,40.52,94.0,146.0,32.85,5.21,19.10569105691057,Micro Cap,True
Diksha Polymers,114.2,14.41,59.35,0.0,0.0,33.23,114.2,Micro Cap,True
Diligent Indust.,2.14,19.55,51.02,-4.55,-42.6,5.66,2.2420115243583028,Micro Cap,True
Diligent Media,2.78,0.0,32.72,-251.26,-71.38,-1.17,-1.8378950152056062,Micro Cap,False
Dilip Buildcon,459.7,12.2,7467.59,-60.27,-25.72,13.32,1157.0601560533603,Mid Cap,True
Dindigul Farm,16.2,10.64,39.58,136.83,76.41,8.84,6.840349617869357,Micro Cap,True
Dipna Pharmachem,7.2,9.23,18.93,314.71,-18.85,6.64,1.7361529743676305,Micro Cap,True
Disa India,12519.0,32.38,1820.52,-15.84,-16.17,26.63,14875.237642585551,Small Cap,True
Dish TV India,3.16,0.0,581.85,-244.96,-29.27,0.0,-2.1799116997792494,Small Cap,False
Disha Resources,25.51,0.0,18.66,500.0,0.0,-0.13,4.251666666666667,Micro Cap,False
Dishman Carbogen,170.02,26.9,2665.63,-59.43,18.85,3.15,419.0781365541041,Small Cap,True
Divgi Torq,855.25,55.73,2615.6,189.35,84.85,10.21,295.5762916882668,Small Cap,True
Divi's Lab.,6713.5,67.94,178222.33,13.44,9.52,21.96,5918.106488011284,Large Cap,True
Divine Hira Jew.,319.0,58.37,416.2,30.72,72.04,16.1,244.03304773561814,Micro Cap,True
Divine Power,476.05,44.49,1188.46,0.0,0.0,0.0,476.05,Small Cap,True
Divyadhan Recy.,47.9,40.08,68.53,1358.33,54.24,7.14,3.2845789361804254,Micro Cap,True
Divyashakti,49.05,47.97,50.37,-82.98,-52.33,0.76,288.19036427732095,Micro Cap,True
Dixon Technolog.,12013.0,51.01,73382.52,13.15,2.12,41.97,10616.880247459125,Large Cap,True
DJ Mediaprint,117.11,40.1,402.6,134.65,95.86,16.21,49.90837417430215,Micro Cap,True
DJS Stock,1.87,705.5,14.11,-100.0,0.0,0.61,inf,Micro Cap,True
DLF,621.35,36.33,153803.49,-3.22,-42.0,6.34,642.02314527795,Large Cap,True
DMCC Speciality,258.85,23.62,645.57,18.39,41.89,15.34,218.64177717712647,Small Cap,True
DMR Engineering,32.99,24.49,34.29,-137.61,-28.92,18.94,-87.71603296995478,Micro Cap,True
Docmode Health,40.5,0.0,12.73,82.69,-12.59,-0.29,22.16870107832941,Micro Cap,False
Dodla Dairy,1108.7,26.4,6688.54,-2.0,18.12,16.72,1131.326530612245,Mid Cap,True
Dolat Algotech,72.99,9.96,1284.62,17.75,10.52,18.13,61.98726114649681,Small Cap,True
